Total,1,2,3,4,5,6,7,8,9,10
1,0.335,1.0575,1.05,1.0425,1.04,0.0325,1.0375,1.03,1.06,1.035
1,0.34,1.0575,1.05,1.0425,1.04,1.0325,0.6275,1.03,1.06,1.035
1,0.34,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.355,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.36,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.365,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.365,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.37,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.375,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.38,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.39,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.4,1.0575,0.97,0.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.4,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,0.035
1,0.405,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.42,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.425,1.0575,0.56,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.425,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.43,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.06,0.035
1,0.43,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.435,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.44,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.445,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.45,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.455,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.46,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.06,1.035
1,0.46,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.47,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.475,0.4175,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.48,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
4,0.485,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.495,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
3,0.505,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.515,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.53,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.535,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.54,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.545,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.555,1.0575,1.05,1.0425,1.04,1.0325,0.6075,1.03,1.06,1.035
1,0.555,1.0575,1.05,1.0425,1.04,1.0325,1.0375,0.4,1.06,1.035
1,0.565,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.58,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.06,1.035
2,0.585,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.595,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.6,1.0575,1.05,1.0425,1.04,1.0325,0.3975,1.03,1.06,1.035
2,0.6,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.605,1.0575,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.605,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.61,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.635,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.645,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.645,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.65,1.0575,1.05,0.0725,1.04,1.0325,0.0375,1.03,1.06,1.035
1,0.65,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.655,0.0575,1.05,1.0425,1.04,1.0325,0.0375,1.03,1.06,1.035
1,0.655,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.66,1.0575,1.05,0.9125,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.665,0.0975,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.67,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.68,1.0575,1.05,0.5525,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.68,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.71,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.725,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.735,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.755,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.765,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.775,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.785,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.795,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.81,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.825,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.83,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.835,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.84,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.845,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
3,0.855,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.86,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.865,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.87,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.875,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.88,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,0.035
1,0.91,1.0575,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.915,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.92,1.0575,1.05,0.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.92,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.925,1.0575,1.05,1.0425,1.04,1.0325,0.0375,1.03,1.06,1.035
1,0.925,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
